geometry,Shape_Leng,Shape_Area,Name,RiskNumeric,bright_ti5,bright_ti4,acq_time,frp,Delta T,acq_date,confidence,scan,instrument,type,version,RiskNumeri,daynight,satellite,track,RiskCatego,latitude,longitude,system_ind,RiskCategory,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32,band_33,band_34,band_35,band_36,band_37,band_38,band_39
POINT (8261046.147503854 1687053.480279874),0.0,0.0,Cotigaon WLS,0,,,,,,,,,,,,,,,,,,,,,18.47934341430664,2241.210693359375,0.06798024475574493,15.237241744995117,0.1590551733970642,307.9532775878906,-0.00139885104727,0.3201126456260681,-0.001422568573616445,0.2932116985321045,-0.00016246738960035145,2.985119104385376,0.003261376405134797,0.030697975307703018,3.0465664863586426,2.6813604831695557,-0.0036697599571198225,0.014680464752018452,-0.005007404368370771,0.2700957953929901,-0.001958254026249051,0.266215056180954,7.6590070724487305,-0.003128026146441698,0.6136714816093445,102.89124298095703,189.32144165039062,90.41915893554688,295.8944091796875,99.33528137207031,2.158346652984619,116.88705444335938,2020.793701171875,-0.010756300762295723,0.6754152178764343,-0.13611160218715668,32.90052795410156,0.05264192819595337,21.62228012084961,325.7350158691406
POINT (8269121.27344099 1703992.4819680364),0.0,0.0,Netravali WLS,0,,,,,,,,,,,,,,,,,,,,,17.40591049194336,2074.81591796875,0.0439036525785923,17.53630256652832,0.25495290756225586,309.116455078125,-0.0015410155756399035,0.3733777701854706,-0.0025193174369633198,0.3429637551307678,-0.0076751746237277985,3.000619649887085,-0.00023479355149902403,-0.03199981898069382,3.006338357925415,2.7003719806671143,-3.9574781112605706e-05,0.07839220017194748,0.00036779619404114783,0.3396512567996979,-0.0007775118574500084,0.28751593828201294,1.7596813440322876,0.0029018819332122803,0.6433212161064148,89.44823455810547,153.8129119873047,75.77940368652344,307.91851806640625,97.70325469970703,-32.07685852050781,89.23446655273438,2545.909912109375,-0.00813055969774723,0.7351407408714294,-0.10466708987951279,32.834415435791016,0.03671526536345482,20.826221466064453,57.63419723510742
POINT (8273698.95411243 1723359.7968233791),0.0,0.0,Mollem NP,0,,,,,,,,,,,,,,,,,,,,,14.928257942199707,2073.187744140625,0.04621821641921997,17.30975914001465,0.36348646879196167,302.61474609375,-0.005507180467247963,0.41126346588134766,-0.006973599083721638,0.38455930352211,0.013105081394314766,2.6685433387756348,0.01754899136722088,-0.24737334251403809,2.976552724838257,2.7044215202331543,-0.018594350665807724,0.3068135678768158,-0.02038157358765602,0.5888617038726807,-0.008279030211269855,0.36349794268608093,17.001943588256836,-0.011784297414124012,0.8463740348815918,93.1970443725586,101.45000457763672,91.06293487548828,197.44107055664062,107.7288818359375,-100.27291107177734,154.4427947998047,1719.7645263671875,0.0016844321507960558,0.6863299012184143,-0.009360027499496937,30.074121475219727,0.03362371772527695,21.575223922729492,1130.676025390625
POINT (8262691.528512363 1742415.8060917272),0.0,0.0,Bhagwan Mahavir WLS,0,,,,,,,,,,,,,,,,,,,,,16.10894203186035,2127.662353515625,0.04621821641921997,17.30975914001465,0.11351852864027023,302.8065490722656,0.0006967184599488974,0.4626201391220093,0.0006570483092218637,0.4323788583278656,-0.0004863528592977673,2.695178508758545,-0.0010777385905385017,-0.3229467272758484,2.976552724838257,2.7044215202331543,0.0008184047183021903,0.38251176476478577,0.0008236492285504937,0.6817947626113892,0.0003430768265388906,0.40660104155540466,12.85888385772705,0.00029750625253655016,0.8828385472297668,110.20442962646484,78.87997436523438,92.81378173828125,268.60748291015625,106.46637725830078,-9.98116397857666,91.5356674194336,2283.200439453125,-0.014355246908962727,0.806202232837677,-0.025806233286857605,29.133590698242188,0.038651783019304276,21.50113868713379,2455.502685546875
POINT (8266441.378044788 1724849.7694401327),0.0,0.0,Bhagwan Mahavir WLS,0,,,,,,,,,,,,,,,,,,,,,18.239013671875,2170.728271484375,0.06290382146835327,15.734601974487305,0.13511884212493896,302.65911865234375,0.001456924481317401,0.4192206859588623,0.001391385798342526,0.38751471042633057,0.0013436608714982867,2.6791539192199707,-0.0006602358189411461,-0.2699742913246155,4.112709045410156,2.169313669204712,0.00031601195223629475,0.33200228214263916,0.00020204129396006465,0.6291626691818237,0.0001446689711883664,0.37762650847435,8.921035766601562,-0.0004270916397217661,0.866394579410553,142.77381896972656,-150.4756622314453,124.31851959228516,47.23599624633789,130.8343048095703,-216.5876922607422,170.01075744628906,2016.5654296875,-0.017416546121239662,0.8421813249588013,-0.07179174572229385,30.308000564575195,0.043228331953287125,21.4822940826416,1875.3851318359375
POINT (8260008.560439177 1694016.3797484306),0.0,0.0,Netravali WLS,0,,,,,,,,,,,,,,,,,,,,,23.021440505981445,2472.308349609375,0.07669062167406082,14.396920204162598,0.05279861018061638,301.39337158203125,0.000980521086603403,0.35718193650245667,0.0008993181982077658,0.3255615532398224,-0.0010477304458618164,2.5755677223205566,-0.0019646803848445415,-0.24298910796642303,2.8360955715179443,2.6934564113616943,0.0018763340776786208,0.3040730357170105,0.0016364267794415355,0.5881518721580505,0.00027532136300578713,0.3483513295650482,29.599546432495117,0.0005013903719373047,0.8718056082725525,272.188232421875,-423.9848327636719,228.10162353515625,-169.21009826660156,245.5721435546875,-484.5557861328125,217.9891357421875,1754.978759765625,-0.028565693646669388,0.841781497001648,-0.07124094665050507,28.63713836669922,0.04556915536522865,21.336942672729492,2003.7845458984375
POINT (8269273.869387842 1724011.8484569872),0.0,0.0,Mollem NP,0,,,,,,,,,,,,,,,,,,,,,23.021440505981445,2472.308349609375,0.07669062167406082,14.396920204162598,0.05650223046541214,303.9241943359375,-0.0003618040063884109,0.5089510083198547,-0.0005711097037419677,0.4834989905357361,-0.0012240340001881123,2.8107993602752686,-0.0005812531453557312,-0.30068933963775635,5.156741619110107,1.4496335983276367,0.00041711379890330136,0.3652467429637909,0.0007519519422203302,0.6579996347427368,0.0006055821431800723,0.3874170780181885,18.83531379699707,0.0007618158706463873,0.8434931039810181,161.01174926757812,83.86126708984375,127.25291442871094,257.4933166503906,136.08660888671875,-61.496498107910156,119.26997375488281,2622.40625,-0.019422242417931557,0.8192311525344849,-0.07518620789051056,28.91219139099121,0.032185424119234085,20.424049377441406,1115.2406005859375
POINT (8261842.827458728 1740785.8249675743),0.0,0.0,Bhagwan Mahavir WLS,0,,,,,,,,,,,,,,,,,,,,,16.12369728088379,2153.84423828125,0.05328503996133804,16.63265609741211,0.06364867836236954,305.688720703125,0.00043539414764381945,0.42504507303237915,0.0003049384104087949,0.3892301917076111,0.0002241056354250759,2.7883102893829346,-0.0005618921131826937,-0.21358342468738556,2.976552724838257,2.7044215202331543,0.000531863362994045,0.2710403501987457,0.0008812326123006642,0.5739607214927673,0.0006144085782580078,0.36449486017227173,4.0576043128967285,0.0005311936256475747,0.8252570629119873,105.54356384277344,144.5693817138672,89.59097290039062,318.4111633300781,106.0201416015625,-9.742173194885254,131.361083984375,2212.525634765625,-0.007421791087836027,0.7529162168502808,-0.06673412770032883,30.914758682250977,0.018310822546482086,21.265974044799805,973.689453125
POINT (8260828.519457103 1743217.0513302842),0.0,0.0,Bhagwan Mahavir WLS,0,,,,,,,,,,,,,,,,,,,,,16.10894203186035,2127.662353515625,0.04621821641921997,17.30975914001465,0.05544076859951019,302.6738586425781,0.0011251016985625029,0.5081122517585754,0.0010993309551849961,0.4827297031879425,-2.7022244466934353e-05,2.8482565879821777,-0.001069217803888023,-0.28136366605758667,2.976552724838257,2.7044215202331543,0.0006674053729511797,0.34239450097084045,0.0007186589064076543,0.6403369903564453,0.00039420087705366313,0.384140282869339,17.81820297241211,0.0003305537684354931,0.8316002488136292,115.50199890136719,40.818077087402344,98.51343536376953,233.963623046875,114.4507064819336,-78.8373031616211,131.62930297851562,2538.92333984375,-0.010140080004930496,0.8045213222503662,-0.019992897287011147,28.88996124267578,0.03319421783089638,21.81450080871582,2010.753662109375
POINT (8262478.339771507 1710038.0405431816),0.0,0.0,Netravali WLS,0,,,,,,,,,,,,,,,,,,,,,18.551830291748047,2328.795654296875,0.07300230115652084,14.763771057128906,-0.028422057628631592,306.92620849609375,-0.0017024836270138621,0.38105708360671997,-0.0021273624151945114,0.35291945934295654,-0.00694648502394557,2.899095296859741,-0.00044948700815439224,-0.10497267544269562,3.2029500007629395,2.5971996784210205,0.000495576299726963,0.15261459350585938,0.0014943997375667095,0.43918314576148987,0.00023095546930562705,0.33186253905296326,2.205794334411621,0.0036686700768768787,0.7352124452590942,44.67636489868164,279.069580078125,32.18345260620117,424.4450988769531,33.90730667114258,187.99945068359375,67.21434783935547,2314.35595703125,-0.0035996080841869116,0.7408851981163025,-0.10240248590707779,30.412363052368164,0.05450413003563881,21.40806007385254,1239.5594482421875
